질문,답변
가맹금과 가맹비는 같은건가요?,"가맹금과 가맹비는 같은건가요?
일반적인 답: 가맹금과 가맹비는 다른 용어입니다.
쉽게 말해 가맹금은 가맹점에서 가맹본부가 수령하는 대가를 총칭하는 용어이고, 가맹비는 가맹금 중 일부분에 해당하는 대가를 지칭하는 용어입니다.
참고 가맹사업법 제 2조(정의) 6. "" 가맹금 이란 명칭이나 지급형태가 어떻든 간에 다음 각 목의 어느 하나에 해당하는 대가를 말한다.
다만, 가맹본부에 귀속되지 아니하는 것으로서 대통령령으로 정하는 대가를 제외한다.
가.
가입비 입회비 가맹비 교육비 또는 계약금 등 가맹점사업자가 영업표지의 사용허락 등 가맹점운영권이나 영업활동에 대한 지원 교육 등을 받기 위하여 가맹본부에 지급하는 대가 나.
가맹점사업자가 가맹본부로부터 공급받는 상품의 대금 등에 관한 채무액이나 손해배상액의 지급을 담보하기 위하여 가맹본부에 지급하는 대가 다.
가맹점사업자가 가맹점운영권을 부여받을 당시에 가맹사업을 착수하기 위하여 가맹본부로부터 공급받는 정착물 설비 상품의 가격 또는 부동산의 임차료 명목으로 가맹본부에 지급하는 대가 라.
가맹점사업자가 가맹본부와의 계약에 의하여 허락받은 영업표지의 사용과 영업활동 등에 관한 지원 교육, 그 밖의 사항에 대하여 가맹본부에 정기적으로 또는 비정기적으로 지급하는 대가로서 대통령령으로 정하는 것 마.
그 밖에 가맹희망자나 가맹점사업자가 가맹점운영권을 취득하거나 유지하기 위하여 가맹본부에 지급하는 모든 대가"
계약 해지 시 가맹금은 다 돌려받을 수 있는 건가요?,"계약 해지 시 가맹금은 다 돌려받을 수 있는 건가요?
일반적인 답: 가맹계약 체결 후 중도에 해지되는 경우, 귀책사유가 누구에게 있는가에 따라 가맹금을 전액 돌려받을 수 도 있고, 일부도 돌려받지 못할 수도 있습니다.
귀책사유가 가맹본부에게 있다면 가맹금은 돌려받을 수 있습니다.
다만, 가맹계약의 체결 경위, 금전이나 그 밖에 지급된 대가의 성격, 가맹계약기간, 계약이행기간, 가맹사업당사자의 귀책 정도 등을 고려하여 반환하는 금액이 정해질 수 있으니 참고하시기 바랍니다.
참고 가맹사업법 제 10조(가맹금의 반환)
① 가맹본부는 다음 각 호의 어느 하나에 해당하는 경우에는 가맹희망자나 가맹점사업자가 대통령령으로 정하는 사항이 적힌 서면으로 요구하는 날부터 1개월 이내에 가맹금을 반환하여야 한다.
1.
가맹본부가 제 7조제 2항을 위반한 경우로서 가맹희망자 또는 가맹점사업자가 가맹계약 체결 전 또는 가맹계약의 체결일부터 2개월 이내에 가맹금의 반환을 요구하는 경우 2.
가맹본부가 제 9조제 1항을 위반한 경우로서 가맹희망자가 가맹계약 체결 전에 가맹금의 반환을 요구하는 경우 3.
가맹본부가 제 9조제 1항을 위반한 경우로서 허위 또는 과장된 정보나 중요사항의 누락된 내용이 계약 체결에 중대한 영향을 준 것으로 인정되어 가맹점사업자가 가맹계약의 체결일부터 2개월 이내에 가맹금의 반환을 요구하는 경우 4.
가맹본부가 정당한 사유 없이 가맹사업을 일방적으로 중단하고 가맹점사업자가 대통령령으로 정하는 가맹사업의 중단일부터 2개월 이내에 가맹금의 반환을 요구하는 경우 ② 제 1항의 규정에 의하여 반환하는 가맹금의 금액을 정함에 있어서는 가맹계약의 체결경위, 금전이나 그 밖에 지급된 대가의 성격, 가맹계약기간, 계약이행기간, 가맹사업당사자의 귀책정도 등을 고려하여야 한다."
,"가맹계약서를 오늘 받았습니다.
바로 가맹 계약 체결하면 안되나요?
일반적인 답: 안됩니다.
당일 수령 후 당일 계약을 하게되면 가맹점사업자 입장에서는 내용 숙지가 어려울 수 있고, 가맹본부 입장에서는 가맹계약서 사전 제공 규정을 위반하게 됩니다.
참고 가맹사업법 제 11조(가맹계약서의 기재사항 등)
① 가맹본부는 가맹희망자가 가맹계약의 내용을 미리 이해할 수 있도록 제 2항 각 호의 사항이 적힌 문서를 다음 각 호의 날 중 빠른 날 전에 가맹희망자에게 제공하여야 한다.
1.
가맹계약의 체결일 2.
가맹금의 최초 수령일(가맹희망자가 예치기관에 예치가맹금을 예치하는 경우에는 최초로 예치한 날로 한다.
다만, 가맹희망자가 최초로 가맹금을 예치하기로 가맹본부와 합의한 날이 있는 경우에는 그 날로 한다)"
가맹계약서 내용이 어려운데 가장 중점적으로 검토해야 하는 내용은 어떤건가요?,"가맹계약서 내용이 어려운데 가장 중점적으로 검토해야 하는 내용은 어떤건가요?
일반적인 답: 가맹계약서의 모든 내용은 다 중요하다고 볼 수 있습니다.
다만, 가맹사업법에서 정하는 가맹계약서 필수기재사항은 반드시 검토하여야 합니다.
참고 가맹사업법 제 11조(가맹계약서의 기재사항 등)
② 가맹계약서는 다음 각호의 사항을 포함하여야 한다.
1.
영업표지의 사용권 부여에 관한 사항 2.
가맹점사업자의 영업활동 조건에 관한 사항 3.
가맹점사업자에 대한 교육 훈련, 경영지도에 관한 사항 4.
가맹금 등의 지급에 관한 사항 5.
영업지역의 설정에 관한 사항 6.
계약기간에 관한 사항 7.
영업의 양도에 관한 사항 8.
계약해지의 사유에 관한 사항 9.
가맹희망자 또는 가맹점사업자가 가맹계약을 체결한 날부터 2개월(가맹점사업자가 2개월 이전에 가맹사업을 개시하는 경우에는 가맹사업개시일)
까지의 기간 동안 예치가맹금을 예치기관에 예치하여야 한다는 사항.
다만, 가맹본부가 제 15조의 2에 따른 가맹점사업자피해보상보험계약 등을 체결한 경우에는 그에 관한 사항으로 한다.
10.
가맹희망자가 정보공개서에 대하여 변호사 또는 제 27조에 따른 가맹거래사의 자문을 받은 경우 이에 관한 사항 11.
그 밖에 가맹사업당사자의 권리 의무에 관한 사항으로서 대통령령이 정하는 사항 1.
가맹금 등 금전의 반환조건에 관한 사항 2.
가맹점사업자의 영업설비 집기 등의 설치와 유지 보수 및 그 비용의 부담에 관한 사항 3.
가맹계약의 종료 및 해지에 따른 조치 사항 4.
가맹본부가 가맹계약의 갱신을 거절할 수 있는 정당한 사유에 관한 사항 5.
가맹본부의 영업비밀에 관한 사항 6.
가맹계약 위반으로 인한 손해배상에 관한 사항 7.
가맹본부와 가맹점사업자 사이의 분쟁 해결 절차에 관한 사항 8.
가맹본부가 다른 사업자에게 가맹사업을 양도하는 경우에는 종전 가맹점사업자와의 계약에 관한 사항 9.
가맹본부의 지식재산권 유효기간 만료 시 조치에 관한 사항"
가맹계약 기간을 10년 동안 법으로 보장해 준다는데 사실인가요?,"가맹계약 기간을 10년 동안 법으로 보장해 준다는데 사실인가요?
일반적인 답: 가맹점사업자가 계약기간 만료 전 180일에서 90일 사이 서면으로 갱신을 요구하는 계약갱신요구권을 행사하는 경우, 가맹본부는 정당한 사유 없이 거절할 수 없습니다.
다만, 가맹점사업자의 귀책사유가 없어야 하며, 재계약마다 반복적으로 계약갱신요구권을 행사하여야 합니다.
최초계약기간으로부터 전체 계약기간이 최대 10년까지 행사할 수 있다는 의미이지, 가맹점사업자에게 무조건 10년을 보장해 주는 것은 아니니 유의하시기 바랍니다.
참고 가맹사업법 제 13조(가맹계약의 갱신 등)
① 가맹본부는 가맹점사업자가 가맹계약기간 만료 전 180일부터 90일까지 사이에 가맹계약의 갱신을 요구하는 경우 정당한 사유 없이 이를 거절하지 못한다.
다만, 다음 각 호의 어느 하나에 해당하는 경우에는 그러하지 아니하다.
1.
가맹점사업자가 가맹계약상의 가맹금 등의 지급의무를 지키지 아니한 경우 2.
다른 가맹점사업자에게 통상적으로 적용되는 계약조건이나 영업방침을 가맹점사업자가 수락하지 아니한 경우 3.
가맹사업의 유지를 위하여 필요하다고 인정되는 것으로서 다음 각 목의 어느 하나에 해당하는 가맹본부의 중요한 영업방침을 가맹점사업자가 지키지 아니한 경우 가.
가맹점의 운영에 필요한 점포 설비의 확보나 법령상 필요한 자격 면허 허가의 취득에 관한 사항 나.
판매하는 상품이나 용역의 품질을 유지하기 위하여 필요한 제조공법 또는 서비스기법의 준수에 관한 사항 다.
그 밖에 가맹점사업자가 가맹사업을 정상적으로 유지하기 위하여 필요하다고 인정되는 것으로서 대통령령으로 정하는 사항 ② 가맹점사업자의 계약갱신요구권은 최초 가맹계약기간을 포함한 전체 가맹계약기간이 10년을 초과하지 아니하는 범위 내에서만 행사할 수 있다.
③ 가맹본부가 제 1항에 따른 갱신 요구를 거절하는 경우에는 그 요구를 받은 날부터 15일 이내에 가맹점사업자에게 거절 사유를 적어 서면으로 통지하여야 한다.
④ 가맹본부가 제 3항의 거절 통지를 하지 아니하거나 가맹계약기간 만료 전 180일부터 90일까지 사이에 가맹점사업자에게 조건의 변경에 대한 통지나 가맹계약을 갱신하지 아니한다는 사실의 통지를 서면으로 하지 아니하는 경우에는 계약 만료 전의 가맹계약과 같은 조건으로 다시 가맹계약을 체결한 것으로 본다.
다만, 가맹점사업자가 계약이 만료되는 날부터 60일 전까지 이의를 제기하거나 가맹본부나 가맹점사업자에게 천재지변이나 그 밖에 대통령령으로 정하는 부득이한 사유가 있는 경우에는 그러하지 아니하다."
